Team Number,Match Number,Starting Position,Hab Line 1/0,Auto # H Ship Side,Auto # H Ship Front,Auto # C Ship Side,Auto C Rkt Lvl,Auto H Rkt Lvl,Auto H Rkt Lvl [2],Auto # C Dropped,Auto # H Dropped,Tele H Ship,Tele C Ship,Tele Rocket H L1,Tele Rocket H L2,Tele Rocket H L3,Tele Rocket C L1,Tele Rocket C L2,Tele Rocket C L3,Tele Dropped C,Tele Dropped H,Def pl amt,Def pl quality,Def rec amt,Who Played D,Fouls? 0/1,Dead 0-3,Highest success,Highest attempt,Was assisted? 1/0
51,1,R2,1,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0
868,1,M,1,0,1,0,0,0,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,3,3,0
3044,1,L2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,1,0
4381,1,R1,1,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1,3,0
3381,1,M,1,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
7651,1,L2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,1,0,0,0,1,1,1,0
245,2,R2,1,0,0,0,0,0,0,0,0,1,3,2,1,0,2,1,0,1,0,0,0,0,0,0,0,3,0,0
3604,2,L2,1,0,0,1,0,0,0,0,0,0,5,0,0,0,2,1,0,0,0,0,0,1,6401,0,0,2,0,0
1792,2,M,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,6401,0,0,3,0,0
5951,2,R2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,2,0,0
1690,2,M,1,0,1,0,0,2,0,0,0,0,3,0,2,0,0,1,0,3,0,0,0,1,5951,0,0,1,2,0
6401,2,L2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0
5501,3,R2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,2,2,0
503,3,R1,1,1,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
3618,3,L2,1,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
3555,3,R2,1,0,1,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0
2500,3,L2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,1,1,0
125,3,L1,1,0,0,0,0,0,2,0,0,0,2,0,1,2,0,2,0,1,1,0,0,2,5501,0,0,3,3,0
250,4,L2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0
3624,4,R2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,2,0
1923,4,L1,1,0,0,0,0,1,0,0,0,0,4,1,0,0,2,0,0,0,2,0,0,1,250,0,0,0,0,0
6806,4,R2,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0
2337,4,L2,1,0,0,0,0,1,0,0,0,0,2,1,0,0,2,0,0,1,0,0,0,6806,3,0,0,3,0,0
1317,4,M,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
836,5,L2,1,0,0,0,0,0,0,0,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3,3,0
3926,5,R2,1,1,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,1,0,0,0,0,0,0,0,2,2,0
236,5,M,0,0,1,0,0,0,0,0,0,0,0,2,2,0,2,0,0,1,0,0,0,0,0,0,0,2,2,0
103,5,M,1,0,1,0,0,0,0,0,0,0,2,0,1,0,2,2,1,0,0,0,0,1,3926,0,0,3,0,0
225,5,R2,1,0,0,0,0,0,0,0,0,0,1,2,1,2,2,1,1,0,0,0,0,2,3926,0,0,1,1,0
1918,5,L2,1,0,0,0,0,1,0,0,0,0,2,1,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2791,6,R2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
4253,6,M,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0
2502,6,L2,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
5348,6,L2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0
7480,6,M,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
5943,6,R2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0
4481,7,R2,1,0,0,0,0,0,1,0,0,0,0,3,2,1,0,0,0,0,1,0,0,2,7885,0,0,0,3,0
5567,7,L1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,2,2,0
5811,7,M,1,0,0,0,0,0,0,0,0,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,2,0
2771,7,R1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,3,0
217,7,L1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0
7885,7,M,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,2,0
1058,8,M,1,0,1,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0
3707,8,M,1,0,1,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
365,8,R2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,771,0,0,2,0,0
771,8,L2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,1,0,0
2830,8,L2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,1,0,0
190,8,R2,1,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,2,2630,0,0,3,0,0
3146,9,L2,1,0,0,0,0,1,0,0,0,0,2,1,1,0,2,0,0,1,0,0,0,0,0,0,0,1,2,0
1218,9,R2,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0
3542,9,M,1,0,1,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,0,0,0,0,0,0,0,2,0,0
449,9,M,1,0,1,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
7462,9,R2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
7719,9,L2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5084,10,R2,1,0,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0
191,10,M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0
88,10,L2,1,0,0,0,0,0,1,0,0,1,1,3,0,0,3,0,0,0,1,0,0,0,0,0,0,3,3,0
