Match Number,Team Number,Autonomous Path,Auto Cross Line,Auto Switch Cubes,Auto Scale Cubes,Own Switch Cubes Teleop,Scale Cubes Teleop,Opponent Switch Cubes Teleop,Exchange Cubes,Single Climb,Climb + 1 Buddy,Climb + 2 Buddies,Played Defense
1,1678,"[[52,342],[52,338],[52,335],[52,331],[52,329],[52,325],[52,321],[51,317],[51,311],[51,306],[51,302],[51,298],[51,296],[52,293],[53,291],[55,289],[56,287],[57,286],[59,284],[60,283],[61,282],[62,281],[64,281],[66,280],[67,280],[69,280],[71,279],[73,279],[75,279],[77,279],[78,279],[80,279],[81,279],[83,279],[84,279],[85,279],[86,279],[88,279],[89,279],[90,279],[93,279],[94,279],[96,279],[98,279],[99,279],[100,279],[101,279],[102,279],[103,279],[104,280],[106,280],[107,280],[109,280],[110,281],[112,281],[113,281],[114,281],[115,281],[117,282],[119,282],[121,283],[123,283],[125,283],[128,284],[132,284],[134,285],[137,286],[139,286],[141,286],[143,287],[145,287],[148,287],[150,287],[153,288],[155,288],[157,289],[159,289],[162,290],[164,290],[167,291],[170,291],[173,292],[175,292],[177,292],[180,292],[182,292],[184,292],[186,292],[187,292],[190,292],[192,292],[194,292],[196,292],[198,292],[200,292],[202,292],[205,292],[208,291],[210,291],[212,290],[214,289],[216,288],[217,288],[219,287],[220,286],[221,284],[222,282],[223,281],[223,279],[224,277],[225,276],[225,275],[226,273],[227,271],[227,270],[228,269],[229,267],[230,266],[230,265],[231,264],[231,263],[231,262],[232,261],[232,259],[232,258],[233,257],[233,255],[233,254],[233,253],[233,251],[233,250],[233,249],[233,248],[233,247],[233,246],[233,245],[233,244],[233,242],[233,241],[233,240],[232,239],[232,238],[232,237],[232,236],[232,235],[232,234],[232,233],[232,232],[232,230],[232,229],[232,227],[232,226],[232,225],[232,223],[232,222],[232,220],[232,219],[232,217],[233,216],[233,215],[233,214],[233,213],[233,212],[233,211],[234,209],[234,206],[234,205],[235,203],[235,201],[235,199],[235,197],[235,195],[235,194],[235,193],[235,192],[235,191],[235,190],[235,189],[235,188],[235,187],[235,185],[235,184],[235,183],[235,182],[234,182],[214,191],[214,190],[214,188],[214,187],[214,185],[213,184],[211,182],[208,181],[205,180],[203,180],[201,179],[199,179],[197,178],[194,178],[192,177],[190,177]]",1,0,1,2,2,0,7,0,0,0,0
1,2910,"[[154,337],[157,333],[161,327],[164,319],[167,311],[170,303],[172,297],[173,289],[175,282],[177,275],[179,269],[180,262],[181,255],[183,249],[185,241],[187,235],[190,229],[192,222],[193,216],[194,211],[195,206],[195,201],[196,195],[196,191],[196,186],[196,183],[196,180],[196,178],[196,176],[196,175],[196,173],[196,169]]",1,1,0,0,4,2,0,0,1,0,0
1,254,"[[254,338],[254,334],[254,326],[254,315],[252,303],[251,290],[250,275],[249,261],[247,248],[246,239],[244,230],[243,221],[241,212],[240,204],[238,195],[237,187],[236,179],[235,172],[234,164],[233,156],[232,150],[231,144],[231,137],[230,130],[229,124],[229,117],[229,111],[227,105],[226,100],[226,95],[225,91],[224,85],[223,80],[222,75],[221,70],[220,64],[220,59],[219,54],[218,49],[218,44],[217,40],[217,37],[216,34],[216,32],[215,30],[215,28],[214,28],[214,27]]",1,0,3,0,1,5,0,1,1,1,0
2,2990,"[[138,332],[138,328],[137,325],[135,321],[133,317],[129,313],[127,308],[124,304],[121,298],[119,293],[116,288],[114,282],[112,277],[110,271],[108,265],[106,259],[105,254],[104,249],[104,246],[104,242],[104,239],[104,235],[104,231],[104,227],[104,223],[104,220],[104,216],[104,213],[104,210],[104,208],[104,206],[104,204],[104,203],[104,202],[104,200],[104,199],[104,198],[104,197]]",1,1,0,2,0,0,7,0,0,0,0
2,687,"[[110,325],[109,317],[31,193],[31,187],[33,180],[39,176],[44,171],[49,169],[54,167],[57,166],[61,165],[63,165],[65,165],[69,162]]",1,0,1,0,3,0,0,0,0,0,0
2,649,"[[72,336],[72,330],[72,325],[70,318],[69,311],[68,307],[67,302],[66,297],[65,291],[63,285],[61,279],[60,273],[59,266],[58,259],[58,252],[58,245],[58,236],[59,227],[61,219],[65,210],[69,202],[72,196],[75,190],[78,185],[82,180],[85,177],[87,174],[89,171],[91,169],[93,167],[94,166],[95,166],[98,166],[102,166]]",1,0,1,0,3,1,0,0,0,0,0
2,973,"[[139,301],[139,292],[139,282],[139,272],[139,263],[139,256],[139,249],[139,244],[139,243],[139,242],[139,241],[139,244],[137,252],[135,265],[133,277],[131,288],[129,299],[127,308],[126,314],[124,319],[122,323],[122,325],[122,327],[122,328],[122,323],[122,315],[122,306],[122,296],[122,282],[124,262],[127,249],[129,240],[130,234],[131,233],[131,236],[131,241],[129,246],[128,252],[127,260],[126,269],[123,280],[120,295],[117,309],[113,323],[110,335],[106,345],[104,354],[104,360],[103,363],[103,362],[103,355],[103,350],[103,343],[102,336],[101,327],[100,318],[100,309],[100,300],[100,291],[100,284],[100,279],[100,276],[100,274],[100,273],[100,271],[100,269]]",1,0,0,0,4,0,0,1,0,0,0
2,3647,"[[150,331],[152,331],[155,330],[160,328],[169,322],[180,318],[189,314],[193,312],[197,310],[200,309],[202,307],[204,306],[206,304],[209,301],[213,297],[216,292],[221,287],[225,283],[228,277],[231,271],[234,266],[236,261],[237,255],[238,250],[240,245],[240,239],[240,232],[240,226],[240,221],[240,218],[240,215],[240,212],[238,211],[237,210],[236,210],[235,209],[234,208],[233,208],[233,207],[232,207],[231,206],[230,205],[229,205],[229,204],[228,204],[227,204],[227,203],[226,203],[225,202],[224,202],[222,201],[221,200],[219,200],[217,199],[216,198],[214,198],[213,197],[211,196],[209,195],[206,194],[203,193],[200,192],[198,191],[196,190],[194,189],[192,188],[190,188],[188,188],[186,188],[183,186],[180,186],[176,184],[172,183],[169,182],[165,180],[163,179],[161,179],[161,178],[161,177]]",1,0,0,3,0,0,6,0,0,0,0
2,115,"[[210,312],[212,305],[214,297],[215,290],[217,284],[218,278],[220,272],[222,266],[224,258],[225,253],[227,248],[229,244],[230,240],[231,234],[232,227],[233,221],[234,215],[235,209],[235,202],[235,197],[235,193],[236,189],[236,186],[236,184],[236,182],[236,181],[237,179]]",1,0,0,0,4,1,0,0,0,0,0
3,1983,"[[158,339],[158,333],[158,326],[156,318],[153,306],[149,294],[144,283],[140,272],[136,263],[132,255],[128,247]]",0,2,0,0,4,2,1,0,0,0,0
