Match Number,Team Number,Autonomous Path,Auto Cross Line,Auto Switch Cubes,Auto Scale Cubes,Own Switch Cubes Teleop,Scale Cubes Teleop,Opponent Switch Cubes Teleop,Exchange Cubes,Single Climb,Climb + 1 Buddy,Climb + 2 Buddies,Played Defense
1,3239,"[[162.171875,367.65625],[161.1171875,366.71875],[160.765625,366.40625],[160.4140625,365.78125],[159.53515625,361.5625],[158.83203125,353.75],[159.7109375,345],[161.732421875,332.03125],[164.80859375,315.3125],[167.09375,307.65625],[168.763671875,300.625],[169.642578125,294.6875],[169.90625,289.53125],[170.609375,285.3125],[171.576171875,281.5625],[172.54296875,279.21875],[173.59765625,276.71875],[174.65234375,273.75],[175.8828125,270.3125],[177.201171875,266.5625],[178.34375,262.65625],[179.486328125,258.90625],[180.8046875,255.3125],[182.123046875,251.71875],[182.5625,247.65625],[182.826171875,243.75],[182.9140625,240.46875],[184.232421875,237.34375],[184.935546875,234.53125],[185.375,231.71875],[185.462890625,228.90625],[185.55078125,226.40625],[185.814453125,223.90625],[186.341796875,221.71875],[186.341796875,219.21875],[186.341796875,216.71875],[186.60546875,214.6875],[186.869140625,213.125],[187.1328125,211.5625],[187.484375,210.46875],[187.748046875,209.375],[188.01171875,208.4375],[188.1875,207.8125],[188.1875,207.65625],[188.1875,207.1875],[188.01171875,207.34375],[187.8359375,207.8125]]",1,0,0,0,2,0,0,1,0,0,0
1,3390,[],1,0,0,1,0,0,5,0,0,0,0
1,2383,"[[74,356],[74,348],[71,337],[69,324],[66,307],[65,294],[65,283],[65,270],[65,257],[65,243],[64,228],[63,214],[63,204],[63,193],[63,182],[63,170],[63,158],[65,146],[65,138],[67,129],[67,121],[69,112],[69,102],[70,93],[70,87],[70,82],[71,74],[71,68],[72,63],[74,59],[75,55],[76,50],[77,46],[78,42],[79,39],[80,35],[82,31],[82,28],[83,24],[84,22],[84,20],[85,19],[85,18],[86,18],[87,23],[88,29],[89,38],[90,46],[91,53],[91,61],[91,68],[91,76],[91,83],[91,90],[91,97],[91,103],[91,108],[91,114],[91,118],[91,122],[91,125],[91,128],[91,129],[91,131],[91,132],[91,129],[91,124],[91,118],[91,112],[91,104],[91,96],[91,89],[91,82],[91,75],[91,69],[90,64],[90,58],[90,53],[90,47],[90,42],[90,37],[91,33],[91,30],[91,28],[91,26],[91,25],[91,24],[91,25],[91,28],[91,31],[91,36],[91,45],[91,52],[91,59],[90,68],[90,77],[89,87],[89,101],[89,111],[89,118],[89,124],[88,128],[88,131],[88,132],[87,132],[87,133],[87,135],[87,138],[86,140],[86,141],[86,143],[86,144],[86,142],[85,135],[85,123],[83,111],[82,97],[82,87],[81,74],[80,64],[80,52],[80,41],[80,33],[82,27],[84,22],[87,17],[91,11]]",1,0,2,3,1,0,0,0,0,0,0
1,5472,"[[155,362],[155,355],[155,348],[155,341],[155,333],[155,328],[155,324],[155,320],[155,317],[154,314],[154,310],[153,307],[152,303],[151,299],[151,296],[151,293],[150,291],[150,288],[150,287],[150,286],[150,284],[150,283],[150,281],[150,280],[150,279],[150,277],[151,276],[152,275],[153,274],[154,273],[155,273],[157,273],[160,271],[163,270],[168,269],[171,268],[174,267],[177,267],[180,266],[183,266],[185,265],[186,265],[187,265],[187,264],[187,263],[187,262],[187,261],[187,260],[187,259],[187,256],[187,254],[187,251],[187,248],[187,244],[187,240],[188,236],[189,232],[189,228],[190,224],[190,222],[190,219],[190,217],[191,215],[191,214],[191,213],[191,211],[191,210],[192,209],[192,207],[190,216],[190,218],[190,221],[190,223],[190,226],[190,228],[190,231],[190,232],[190,234],[190,236],[190,238],[190,239],[190,243],[190,246],[190,249],[190,254],[189,257],[189,259],[189,261],[189,262],[188,263],[187,263],[186,263],[185,263],[184,263],[183,262],[181,261],[179,260],[177,258],[175,257],[173,255],[170,253],[168,251],[166,250],[165,249],[164,248],[164,246],[164,245],[163,244],[163,243],[163,242],[163,241],[164,241],[166,242],[169,244],[173,248],[177,251],[180,254],[182,256],[184,258],[185,258],[186,259],[186,260],[187,260],[188,260],[189,258],[189,254],[189,249],[190,243],[190,237],[190,231],[190,226],[190,223],[190,221],[190,220],[190,219],[191,219],[191,218],[196,216]]",0,1,0,1,4,2,1,0,0,0,0
1,1515,"[[255,299],[255,294],[255,285],[253,273],[252,258],[251,244],[250,229],[250,218],[250,201],[250,187],[250,176],[250,168],[250,162],[250,158],[250,156],[250,155]]",0,0,0,0,0,0,6,0,0,0,0
2,6348,[],1,0,0,1,0,0,0,0,0,0,0
2,1710,[],0,0,0,1,5,3,0,0,0,0,0
2,7327,[],0,0,0,0,0,0,0,0,0,0,1
2,2521,"[[201,344],[201,342],[201,340],[201,339],[201,337],[201,334],[201,332],[201,329],[201,325],[201,322],[200,318],[199,314],[199,310],[198,307],[198,302],[198,298],[197,295],[197,291],[196,288],[196,285],[196,283],[195,281],[194,278],[193,276],[192,274],[191,273],[189,272],[188,271],[186,271],[183,271],[181,271],[177,271],[174,271],[171,271],[168,271],[165,271],[162,271],[158,270],[155,270],[151,270],[148,270],[144,269],[141,269],[138,269],[134,269],[130,269],[126,269],[123,269],[119,269],[116,268],[114,268],[112,268],[111,268],[110,267],[109,267],[108,266],[108,265],[107,263],[107,262],[107,260],[107,258],[107,256],[107,254],[107,251],[107,248],[107,245],[107,243],[107,241],[107,239],[107,237],[107,235],[107,233],[107,231],[107,229],[107,226],[107,224],[107,222],[107,220],[107,217],[107,216],[107,214],[107,212],[107,210],[107,209],[107,207],[107,206],[107,205],[107,203],[107,201],[107,200]]",1,0,0,0,2,0,4,0,0,0,1
2,3316,"[[159,344],[159,341],[159,337],[160,332],[161,326],[161,320],[161,315],[161,311],[161,308],[161,305],[161,303],[161,300],[161,298],[161,295],[161,293],[161,291],[161,288],[161,285],[161,281],[161,278],[161,276],[159,273],[158,270],[156,267],[154,265],[151,262],[148,259],[145,257],[142,256],[138,255],[133,255],[129,255],[124,255],[120,255],[115,255],[111,254],[107,253],[105,252],[103,251],[102,249],[101,246],[99,243],[98,238],[96,235],[95,232],[94,229],[94,226],[94,223],[93,219],[93,216],[92,213],[92,210],[92,208],[92,206],[92,205],[92,204],[92,203],[92,202],[92,201],[92,200],[92,199],[92,198],[92,197],[92,196],[92,195],[92,194],[92,193],[92,192],[92,191],[92,190],[90,191]]",0,0,1,0,2,0,0,1,0,0,0
